Quad_Cat,Num_of_Fixations,Mean_Fixation_Duration,SD_Fixation_Duration,Skew_Fixation_Duration,Max_Fixation_Duration,First_Fixation_Duration,Num_of_Saccade,Mean_Saccade_Duration,SD_Saccade_Duration,Skew_Saccade_Duration,Max_Saccade_Duration,Mean_Saccade_Amplitude,SD_Saccade_Amplitude,Skew_Saccade_Amplitude,Max_Saccade_Amplitude,Mean_Saccade_Direction,SD_Saccade_Direction,Skew_Saccade_Direction,Max_Saccade_Direction,Mean_Saccade_Length,SD_Saccade_Length,Skew_Saccade_Length,Max_Saccade_Length,Num_of_Blink,Mean_Blink_Duration,SD_Blink_Duration,Skew_Blink_Duration,Max_Blink_Duration,Num_of_Microsac,Mean_Microsac_Peak_Vel,SD_Microsac_Peak_Vel,Skew_Microsac_Peak_Vel,Max_Microsac_Peak_Vel,Mean_Microsac_Ampl,SD_Microsac_Ampl,Skew_Microsac_Ampl,Max_Microsac_Ampl,Mean_Microsac_Dir,SD_Microsac_Dir,Skew_Microsac_Dir,Max_Microsac_Dir,Mean_Microsac_H_Amp,SD_Microsac_H_Amp,Skew_Microsac_H_Amp,Max_Microsac_H_Amp,Mean_Microsac_V_Amp,SD_Microsac_V_Amp,Skew_Microsac_V_Amp,Max_Microsac_V_Amp
1,0.605555556,1208.440367,1013.049251,2.080900072,6127,1640,0.605555556,438.0642202,517.0532116,2.016306277,2735,28.08478715,35.63549219,3.158916484,250.5619005,-0.361115329,1.934984017,0.156749843,3.139620928,28.08763862,35.6391103,3.158916484,250.5873403,0.177777778,77.46875,32.27201362,2.743089671,219,0.966666667,163.8686944,67.48929506,0.302995844,348.6307554,15.45727325,21.83459029,5.556833549,220.1076246,6.280908433,114.8946652,-0.047816398,179.7194946,0.419874475,25.2142093,3.156580053,220.0697458,-0.182289363,8.975205725,0.107802951,45.07047381
0,0.459183673,1796.311111,1880.259542,2.346292837,9773,556,0.448979592,392,426.8380228,1.023167279,1430,26.09210244,30.12669602,2.101447025,150.5892188,-0.181993607,2.038648877,-0.01081422,3.113317467,26.0947516,30.12975481,2.101447025,150.6045083,0.06122449,104.5,89.99277749,1.322178372,287,1.153061224,143.3160679,71.79960331,0.998449896,385.0320041,21.85175502,72.38346091,9.113773762,751.3182346,16.06118816,114.1003044,-0.161061201,179.5639068,-4.596919929,74.73728991,-8.745373198,144.1739405,0.660247755,10.52347091,3.971436841,81.15067106
0,0.48,1617.694444,1895.391401,1.633123494,7573,671,0.466666667,481.3142857,528.4736496,1.719941235,2443,25.5846489,29.19118348,2.159988753,140.8455061,0.222246146,2.055253348,-0.087640133,3.137428337,25.58724653,29.19414728,2.159988753,140.8598062,0.08,67.5,14.01071019,0.682106809,92,0.973333333,134.2042658,72.69324207,0.933668289,353.82456,12.56651036,18.95927536,5.347712423,149.2071607,23.25673635,112.5321976,-0.214483978,179.7890911,-1.217539832,17.351371,-2.922201637,35.32371456,-1.158867797,14.65930903,-5.19858849,26.59586138
3,0.454545455,1858.763636,2711.244828,3.296110938,14840,1804,0.446280992,349.2407407,427.4062596,2.130970007,2172,21.12197653,29.63463281,2.266863912,144.9313996,0.316126894,2.125495283,-0.216270136,3.138397732,21.12412107,29.63764164,2.266863912,144.9461146,0.033057851,59.5,8.888194417,0.469973427,72,1.719008264,113.0867327,78.8813058,1.696870951,494.004621,11.29465629,23.30250382,5.48316835,212.8423167,-15.54536742,117.0131903,0.083587694,179.8467768,-0.908321025,25.61109665,-3.302714233,122.2940535,0.094660464,3.775846639,1.529565261,29.63788293
1,0.527777778,1582.126316,1520.578818,1.862891538,7526,1315,0.522222222,311.5319149,355.9514798,2.211396682,2000,20.60088335,24.08682744,2.417801929,132.1562545,-0.252052982,2.005192229,0.054299624,3.140575656,20.60297497,24.089273,2.417801929,132.1696725,0.127777778,89.2173913,45.16732178,1.657277347,213,0.894444444,141.0925633,52.82170457,0.809577421,344.099709,10.78730429,14.37126952,4.674885833,123.1734482,-28.16982857,120.5878906,0.219166308,179.868585,-2.472083597,17.0461951,-2.911459386,55.62942478,-0.538491742,5.075855873,-2.305318703,17.99740053
2,0.389534884,2284.343284,3157.206828,2.445851385,14316,1906,0.38372093,285.3787879,278.6849208,1.856008197,1310,19.71735094,24.38248004,3.181664272,134.9209306,-0.425540331,2.185354779,0.211314261,3.137579525,19.71935286,24.38495561,3.181664272,134.9346292,0.220930233,74.52631579,14.83191745,0.760408767,114,1.058139535,119.0695437,63.29179239,1.029612888,375.092227,9.477791618,18.10908869,8.346377165,212.9286772,-1.58792443,116.176218,0.01183483,179.9034832,0.077908647,19.75011155,6.419413751,212.9151838,-0.714334184,5.155928634,-3.850109078,16.00630056
2,0.563218391,1314.734694,1568.119397,3.490781248,9735,1473,0.563218391,458.9081633,595.9020726,1.899953692,2587,31.41092202,44.44661908,2.721786077,239.6657119,0.132782852,2.130366426,-0.068036661,3.141542841,31.4141112,44.45113178,2.721786077,239.6900454,0.051724138,69.66666667,16.52271164,0.7195565,97,1.442528736,152.2577168,67.34167311,0.54838886,412.9016244,13.95971077,23.84842491,4.953153621,178.6138967,12.47869844,116.8966412,-0.085391404,179.9857918,-0.519966302,25.95092105,-0.2853339,169.0740507,0.145563002,9.506791648,5.193866116,109.2471703
2,0.318965517,2975.72973,2220.542159,0.682832663,9199,3182,0.310344828,181.1388889,337.5760784,4.220725989,1972,10.91237797,7.786690445,2.048924336,37.75701225,0.214304385,2.25229138,-0.1178717,3.138469231,10.91348591,7.787481035,2.048924336,37.76084575,0.25,74.17241379,14.67035146,0.238217474,101,2.275862069,100.128437,63.26674449,1.306798261,349.1589918,5.962682731,9.75766602,8.001423194,125.104285,0.025989723,117.0379189,0.034527897,179.8870154,0.508328314,11.28396873,4.986783933,125.0424429,-0.059751407,1.772653031,-1.345506675,10.28071092
0,0.317880795,2744.520833,3378.776009,2.098799141,15370,9602,0.324503311,394.3265306,329.2653684,1.026490944,1502,24.87257669,21.74327091,1.497587019,105.3124934,0.104407696,2.206821892,0.054584494,3.140542631,24.87510202,21.74547852,1.497587019,105.3231859,0.059602649,66,13.92838828,0.647395948,89,1.152317881,113.0276597,73.07755119,1.245288172,354.2051762,12.99394596,24.17986501,4.81694589,198.0248342,7.432839426,115.4268778,-0.022109286,179.9398381,1.621246009,24.02701321,4.374626562,187.4953335,-0.378128723,13.14946186,-0.097686197,63.7129097
1,0.49689441,1604.475,1387.150718,1.770837555,7087,1278,0.49068323,421.8860759,449.0197297,1.475492114,2071,33.08403424,38.22822192,2.244410128,217.4460831,0.222882441,2.090855172,-0.058830089,3.13830656,33.08739329,38.23210327,2.244410128,217.4681606,0.093167702,74.86666667,12.91105101,0.145200432,99,0.701863354,187.7309043,78.22383113,1.36010887,612.0862228,16.10472734,22.80406252,4.50602793,173.0542857,38.47481465,122.7492943,-0.286892924,179.856117,-2.638026613,26.49105169,-1.775652439,104.9879103,-1.08864236,8.302898744,-3.040803735,21.06248164
3,0.4125,1875.30303,1692.473199,1.511736612,6762,1905,0.4,567.5625,871.2918454,2.393404146,4012,28.12917286,44.76927296,3.203975775,232.9844539,-0.070959376,2.221112921,0.113225548,3.081725201,28.13202884,44.77381842,3.203975775,233.008109,0.05,63.25,8.421203398,-0.013657401,71,1.275,142.3177379,67.04996425,1.249434115,377.473986,17.84969426,38.75824213,5.430359586,285.0662264,2.529523423,122.1071834,-0.002976303,179.6594397,0.322608312,41.69707456,1.168107632,284.5866505,0.149408475,9.218142129,-0.220589305,42.77878456
3,0.506666667,1589.105263,1605.674865,2.213553767,7626,421,0.506666667,393.2105263,490.2892229,1.647982502,1997,20.49569624,21.25355705,1.88111043,99.8749544,-0.657049946,2.364853838,0.461580634,3.112592574,20.49777718,21.25571494,1.88111043,99.88509479,0.226666667,177.5882353,165.604219,1.23849073,562,1.4,146.4580986,56.58435697,0.861242995,344.0555933,10.8682501,12.04502498,3.111949614,78.95956057,-18.93928681,125.1900398,0.159554623,178.876484,-1.814261836,15.65294375,-1.034147891,43.68579669,-0.431296685,3.892318836,-0.515917734,14.68629426
1,0.311111111,3062.571429,2924.1647,1.721684405,13131,4764,0.305555556,155.9636364,239.2249804,3.183112342,1278,11.70641211,11.35052143,2.744512719,58.87093825,-0.276061118,2.000957869,0.087326802,3.132343262,11.70760067,11.35167386,2.744512719,58.87691547,0.066666667,151.3333333,59.76519713,-0.121962961,235,1.727777778,117.4443979,73.93820152,0.721241174,327.058848,6.643188286,6.93498154,3.379108537,48.30727477,2.125443026,118.9303126,-0.011421409,179.9148102,-0.120797207,8.737428767,-0.652153286,43.79497539,-0.247815414,3.957181232,-5.709036501,15.77429146
